link;comentarios;data_comentario
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Boa tarde.  Alguém poderia me ajudar por favor.  Se eu não votar no CAPITÃO, EM QUEM EU VOTO?   Obrigado.;2019-12-08T11:58:23
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;E quem ainda confia na credibilidade do datafolha? ;2019-12-08T11:42:15
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Eu...;2019-12-08T11:46:06
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Eu só confio na mulher do Haroldo.;2019-12-08T11:58:23
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;99% aprovam o PT fora do governo. ;2019-12-08T11:58:07
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;agora pergunta pra esses 36% eleitores de quem eles sãoé claro q é do pt, PT é significado nao sendo eles governo quanto pior melhor;2019-12-08T11:58:05
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Nota 1000 para nosso presidente.;2019-12-08T11:58:04
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;2022 é B38 de novo...;2019-12-08T11:53:01
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;B 38 , Burros 38;2019-12-08T11:57:54
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Collor da vida , todo mundo sabe o final ;2019-12-08T11:57:29
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;JB - 38 em 2022 ! ;2019-12-08T11:47:20
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Marcelo Fake Silva!;2019-12-08T11:57:27
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Segundo o datafolha, o Presidente é o Andrade.;2019-12-08T11:56:52
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Datafolha é podre. Se eu acreditasse nesta pesquisa ou outras estaria desempregado e totalmente alienado. Não acreditem na Datafolha. Só sabe produzir faknew;2019-12-08T11:56:38
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Sendo pesquisa da DATAFOLHA , já sabemos como foi feita ! ;2019-12-08T11:56:00
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Faça outra eleição pra ver como que funciona. Tem muitos políticos que não consegue ir na padaria sem ser hostilizado. Mas nas pesquisas são os melhores kkkkk;2019-12-08T11:55:53
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;DATALIXO........KKKKKKKKKKKKKKKKKKKK;2019-12-08T11:18:48
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;BOLSOMITONOSSOHERÓIATÉ2030 !!!!;2019-12-08T11:30:32
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Chama o Zé avô, pois o zé netinho... Meu Deus do Céu!;2019-12-08T11:55:03
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;E QUEM CONFIA NESSA DATAFOLHA?????(gritando mesmo.);2019-12-08T11:48:49
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Tô entre os 36%... Obs: Votei nele.;2019-12-08T10:58:27
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Votei nele ..e continuarei ...Datafalha errou na eleição !! Sem credibilidade ;2019-12-08T11:39:43
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;JB 38 2022;2019-12-08T11:40:13
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;62% de aprovação !;2019-12-08T11:54:10
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;O percentual positivo que ele tem , vem dos protestantes que recebem ordens dos seus donos para apoiarem esse cara, se não fosse isso, ele já estaria com 1% de aprovação.;2019-12-08T11:54:08
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Não quero saber de direita nem esquerda, quero ir pra frente. Amoedo 2022;2019-12-08T11:36:09
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Qualquer um é melhor que esseimbecil que está hoje no cargo.;2019-12-08T11:39:04
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;mesmo que de direita.;2019-12-08T11:44:26
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Quem acredita nessa porcaria de pesquisa de data folha?;2019-12-08T11:53:49
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;DATAFOLHA é um solene  P   I   A   D   A, AHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH;2019-12-08T11:53:48
https://g1.globo.com/politica/noticia/2019/12/08/36percent-reprovam-e-30percent-aprovam-o-governo-bolsonaro-diz-datafolha.ghtml;Mas vocês da g são muito tendenciosos! Absurdo! Depois vão reclamar da empresa estar quase quebrada com cobrança de dívidas com a União e retirada de propagandas das estatais! Ótimo bom + Regular somam 62%. Portanto não reprovam! E mesmo se consideramos somente a margem de erro não alterou nada nos últimos sensos!;2019-12-08T11:53:41
